02/01/2024,1,8.2,1341.7,1.03,395.81,0.75,1.52,5.811,0.032,43.37,14143.96,30.37,9.46,9.95,0.67,0.6,68.25,0.1,1.25,5.41,0.01,3.57,1193.58,1.12,35.94,17.2,0.38,0.49,65.42,0.14,0.37,5.11,0.02,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2024,2,10,1736.9,1.04,350.6,0.77,1.49,5.202,0.03,31.5,13517.71,33.27,8.8,8.62,0.73,0.69,72.49,0.09,1.54,5.5,0.02,2.16,918.97,0.85,40.53,13.44,0.41,0.45,38.75,0.06,0.19,4.98,0.01,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2024,1,11.5,1955,1.5,386.74,1.3,1.95,6.4,0.035,28.85,11565.34,37.18,9.46,8.59,0.69,0.7,71.96,0.11,1.73,6.01,0.02,2.47,943.45,0.89,48.89,10.89,0.45,0.55,44.21,0.09,0.21,5.71,0.01,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2024,2,11.7,2068.4,1.92,308.41,1.09,1.85,6.34,0.035,35.29,10725.18,38.21,10.53,9.14,0.73,0.58,54.28,0.11,1.67,5.94,0.01,1.72,750.92,0.68,49.26,10.52,0.41,0.53,33.32,0.08,0.16,5.41,0.01,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2024,1,10.6,1857.1,1.14,286.74,0.83,1.78,5.405,0.037,40.55,9049.98,42.39,11.16,8.39,0.88,0.69,67.57,0.1,1.81,6.13,0.02,2.42,851.95,0.8,47.2,10.9,0.45,0.53,33.9,0.07,0.26,5.34,0.01,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2024,2,10.6,1864.9,1.27,240.91,1.18,2.34,6.17,0.034,34.87,8540.08,47.33,9.02,7.17,0.93,0.71,68.33,0.14,2.34,6.15,0.02,2.05,751.51,0.89,47.51,10.71,0.43,0.54,41.5,0.12,0.35,5.95,0.02,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2024,1,12,2079.7,1.61,344.15,1,2.04,6.201,0.038,33.88,8589.63,46.32,9.74,7.73,1,0.78,88.71,0.21,1.96,6.43,0.02,2.61,891.22,2.35,50.11,10,0.45,0.69,40.72,0.11,0.44,5.81,0.01,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2024,2,11,1988.9,1.59,255.58,0.84,1.84,5.43,0.041,39.17,9609.13,40.26,10.42,8.81,0.96,0.74,65.51,0.14,2.02,6.16,0.02,1.56,693.75,0.51,50.54,8.94,0.51,0.65,39.38,0.1,0.34,5.98,0.01,0,0,0,0,0,0,0,0,0,0,0,0
06/01/2024,1,12,2122.2,1.6,388.7,0.95,1.98,6.127,0.036,45.17,10209.26,45.78,9.56,8.36,0.73,0.4,81.19,0.12,1.91,5.92,0.02,1.8,784.82,0.74,50.1,9.98,0.39,0.25,34.19,0.1,0.21,5.56,0.01,0,0,0,0,0,0,0,0,0,0,0,0
06/01/2024,2,12,2038.1,1.75,313.27,0.89,2.15,6.047,0.031,45.57,11439.37,43.1,11.15,8.25,0.87,0.5,72.23,0.09,1.97,5.87,0.01,2,876.24,0.63,49.04,10.3,0.37,0.25,37.14,0.08,0.18,5.67,0.01,0,0,0,0,0,0,0,0,0,0,0,0
